char,walkSpeed,bWalkSpeed,dashSpeed,dashAccel,friction
Anji_Mito,5.6,4.9,13.5,0.555,100
Axl_Low,5.2,4.9,13.1,0.416,100
Baiken,4.9,4.725,11.2,0.605,105
Bridget,7,5.2,14,0.476,100
Chipp_Zanuff,8.8,6.8,24.5,0.761,85
Faust,4.4,7.7,14,0.416,100
Giovanna,10,8,42,0,5.5556
Goldlewis_Dickinson,6.3,5.2,10,0.297,100
Happy_Chaos,8.8,6.8,13.5,0.396,100
Jack-O,6.6,5,11.9,0.555,100
Ky_Kiske,6.6,5,15,0.555,100
Ky_Kiske_DI,8.6,6,20,0.555,100
May,5.6,4.8,13.8,0.446,100
Millia_Rage,7.9,6.1,20.6,0.623,90
Ramlethal_Valentine,7,5.2,15.7,0.693,100
Sol_Badguy,7.9,4.8,13.1,0.555,95
Testament,5.6,4.5,11.5,0.555,95
Zato-1,4.9,3.8,13.5,0.416,100
Sin_Kiske,6.3,4.9,14.0,.56,100